cluster_label,year,quarter,predicted_demand
0,2023,4,205
0,2024,1,466
0,2024,2,422
0,2024,3,281
0,2024,4,235
1,2023,4,32
1,2024,1,106
1,2024,2,283
1,2024,3,153
1,2024,4,155
10,2023,4,51
10,2024,1,282
10,2024,2,441
10,2024,3,283
10,2024,4,178
100,2023,4,25
100,2024,1,83
100,2024,2,340
100,2024,3,169
100,2024,4,134
101,2023,4,2
101,2024,1,2
101,2024,2,2
101,2024,3,2
101,2024,4,2
102,2023,4,2
102,2024,1,2
102,2024,2,2
102,2024,3,2
102,2024,4,2
103,2023,4,2
103,2024,1,2
103,2024,2,2
103,2024,3,2
103,2024,4,2
104,2023,4,58
104,2024,1,344
104,2024,2,513
104,2024,3,211
104,2024,4,183
105,2023,4,52
105,2024,1,313
105,2024,2,488
105,2024,3,231
105,2024,4,185
106,2023,4,4
106,2024,1,8
106,2024,2,10
106,2024,3,6
106,2024,4,8
107,2023,4,0
107,2024,1,0
107,2024,2,0
107,2024,3,0
107,2024,4,0
108,2023,4,46
108,2024,1,233
108,2024,2,355
108,2024,3,162
108,2024,4,164
109,2023,4,56
109,2024,1,338
109,2024,2,490
109,2024,3,213
109,2024,4,183
11,2023,4,9
11,2024,1,14
11,2024,2,23
11,2024,3,24
11,2024,4,22
110,2023,4,0
110,2024,1,0
110,2024,2,0
110,2024,3,0
110,2024,4,0
111,2023,4,0
111,2024,1,0
111,2024,2,0
111,2024,3,0
111,2024,4,0
112,2023,4,73
112,2024,1,369
112,2024,2,518
112,2024,3,271
112,2024,4,189
113,2023,4,61
113,2024,1,378
113,2024,2,557
113,2024,3,316
113,2024,4,206
114,2023,4,54
114,2024,1,309
114,2024,2,450
114,2024,3,240
114,2024,4,175
115,2023,4,14
115,2024,1,57
115,2024,2,263
115,2024,3,156
115,2024,4,133
116,2023,4,45
116,2024,1,238
116,2024,2,353
116,2024,3,164
116,2024,4,170
117,2023,4,216
117,2024,1,515
117,2024,2,414
117,2024,3,280
117,2024,4,243
118,2023,4,13
118,2024,1,60
118,2024,2,291
118,2024,3,171
118,2024,4,133
119,2023,4,49
119,2024,1,224
119,2024,2,366
119,2024,3,200
119,2024,4,177
12,2023,4,2
12,2024,1,2
12,2024,2,2
12,2024,3,2
12,2024,4,2
120,2023,4,0
120,2024,1,0
120,2024,2,0
120,2024,3,0
120,2024,4,0
121,2023,4,49
121,2024,1,224
121,2024,2,360
121,2024,3,169
