,0,1,2,3,4,5,6,7,8,9
0,shoe,boot,sneaker,toe,shoelace,heel,sock,black,lace,sandal
1,dress,maxi,long,sleeve,woman,casual,pocket,neck,loose,with
2,men,sock,cargo,short,pant,hiking,crew,cotton,outdoor,pack
3,watch,case,galaxy,for,samsung,black,with,silicone,michael,compatible
4,bag,backpack,travel,luggage,crossbody,laptop,shoulder,for,messenger,tote
5,woman,cotton,sock,womens,pajama,set,pack,short,size,top
6,waist,shaper,trainer,black,pant,body,woman,corset,control,shapewear
7,anklet,bracelet,foot,ankle,chain,jewelry,beach,for,woman,gold
8,hat,beanie,cap,winter,knit,warm,scarf,slouchy,skull,pom
9,pin,brooch,enamel,crystal,lapel,rhinestone,flower,gold,owl,pearl
10,kid,boy,toddler,little,girl,child,baby,shirt,big,for
11,red,wine,top,shirt,sleeve,blouse,neck,tunic,casual,long
12,jumpsuit,romper,leg,woman,wide,pant,sleeveless,long,short,neck
13,pullover,sweatshirt,long,top,sleeve,casual,woman,loose,shirt,womens
14,wallet,card,leather,rfid,holder,purse,credit,case,blocking,clutch
15,necklace,jewelry,pendant,choker,for,chain,woman,gold,girl,fashion
16,men,large,black,jacket,shirt,sleeve,medium,fleece,long,zip
17,bikini,swimsuit,bathing,suit,piece,swimwear,two,high,set,woman
18,charm,pandora,bracelet,silver,sterling,italian,bead,heart,clearly,charming
19,glove,apron,for,with,and,kitchen,marked,archive,case,pair
20,gift,birthday,for,keychain,shirt,day,dad,you,mom,christmas
21,skull,black,comic,halloween,costume,batman,dc,logo,headband,ring
22,belt,buckle,leather,men,waist,for,genuine,black,ratchet,jean
23,sweatyrocks,crop,top,woman,sleeve,short,shirt,casual,neck,long
24,watch,quartz,wrist,lady,woman,dial,analog,leather,steel,gold
25,disney,girl,mouse,minnie,pajama,mickey,pink,set,size,little
26,flag,american,patriotic,usa,shirt,july,4th,star,of,pin
27,shoe,kid,boy,sneaker,girl,little,led,water,flashing,slip
28,eyeglass,frame,lens,havana,black,optical,matte,glass,clear,52mm
29,hymuses,hemline,lace,scalloped,top,flowy,line,swing,tunic,blouse
30,ear,earring,plug,gauge,tunnel,stud,piercing,cuff,pair,steel
31,bracelet,gift,bangle,for,charm,jewelry,heart,love,girl,cuff
32,allegra,dress,neck,woman,sleeve,midi,black,long,tie,button
33,short,workout,running,yoga,athletic,pocket,high,biker,waist,woman
34,watch,men,quartz,dial,analog,steel,automatic,wrist,stainless,leather
35,blouse,neck,top,shirt,sleeve,casual,woman,loose,long,short
36,sunglass,black,lens,frame,metal,aviator,gold,matte,polarized,brown
37,dress,floral,summer,woman,casual,sleeve,neck,mini,short,long
38,bra,sport,racerback,workout,yoga,impact,padded,woman,top,tank
39,sweatshirt,hoodie,pullover,long,zip,hooded,hoodies,woman,sleeve,pocket
40,vintage,dress,swing,cocktail,party,1950s,woman,rockabilly,retro,floral
41,gift,necklace,for,jewelry,birthday,pendant,girl,mother,woman,silver
42,pajama,sleepwear,set,short,loungewear,pjs,sleeve,pj,nightwear,woman
43,dog,animal,pet,paw,cat,shirt,puppy,lover,print,black
44,sock,boot,size,black,lace,pink,heel,sandal,girl,woman
45,cubic,zirconia,silver,sterling,earring,ring,plated,gold,stud,cz
46,keychain,key,charm,bag,car,keyring,purse,pendant,pom,handbag
47,steel,ring,black,metal,stainless,gold,key,silver,with,chain
48,ring,wedding,band,size,for,silver,silicone,engagement,gold,men
49,watch,band,strap,leather,22mm,replacement,20mm,buckle,stainless,18mm
50,dress,bridesmaid,gown,wedding,evening,prom,formal,party,long,woman
51,dress,cocktail,party,wine,woman,bodycon,neck,red,sleeve,sleeveless
52,waterproof,jacket,winter,men,snow,boot,rain,outdoor,ski,warm
53,sunglass,fashion,oversized,eye,cat,woman,frame,polarized,womens,lens
54,earring,silver,sterling,dangle,stud,hoop,925,drop,gold,crystal
55,sun,protection,uv,upf,50,hat,fishing,hiking,sleeve,outdoor
56,leather,handbag,bag,purse,shoulder,tote,crossbody,clutch,woman,satchel
57,midi,dress,woman,sleeve,casual,floral,line,pocket,bodycon,neck
58,top,neck,sleeve,woman,shirt,crop,tee,print,blouse,long
59,band,watch,compatible,series,apple,40mm,iwatch,replacement,38mm,42mm
60,ring,piercing,nose,steel,surgical,jewelry,belly,body,hoop,cartilage
61,lens,oakley,replacement,polarized,sunglass,for,fuse,revant,frame,optic
62,crystal,necklace,jewelry,bracelet,pendant,gold,charm,for,silver,stone
63,yoga,workout,legging,running,pant,high,woman,gym,athletic,top
64,silver,sterling,ring,gold,925,plated,diamond,rose,14k,size
65,cycling,bike,motorcycle,men,bicycle,biker,short,jersey,black,jacket
66,face,mask,reusable,bandana,washable,dust,cover,gaiter,filter,balaclava
67,jean,denim,ripped,skinny,distressed,blue,woman,pant,short,stretch
68,sunglass,polarized,fishing,cycling,driving,sport,men,glass,frame,for
69,earring,dangle,drop,for,woman,girl,stud,hoop,jewelry,tassel
70,perfection,jj,woman,front,chiffon,sleeve,neck,open,tank,top
71,sport,men,compression,running,headband,shirt,athletic,dry,wicking,for
72,baby,girl,toddler,outfit,clothes,month,set,kid,pant,romper
73,cardigan,open,front,sweater,long,sleeve,knit,woman,coat,pocket
74,sunglass,lens,frame,retro,aviator,men,glass,vintage,fashion,classic
75,hat,cap,sun,baseball,brim,men,adjustable,woman,straw,for
76,apron,oxiuly,kitchen,cooking,woman,dress,pocket,chef,for,work
77,dress,cocktail,party,lace,floral,evening,woman,vintage,formal,wedding
78,bracelet,bead,bangle,cuff,leather,charm,adjustable,for,jewelry,silver
79,swim,swimsuit,beach,blue,one,piece,surf,water,swimming,swimwear
80,glass,anti,goggles,night,glare,lens,light,fog,vision,computer
81,christmas,santa,xmas,holiday,shirt,ugly,merry,red,tree,woman
82,woman,top,size,black,neck,sleeve,plus,large,tank,dress
83,necklace,pendant,jewelry,charm,chain,making,silver,bracelet,diy,bead
84,shirt,blouse,top,sleeve,casual,short,tee,woman,neck,womens
85,kid,boy,little,toddler,big,youth,black,shoe,sneaker,baby
86,toddler,shoe,kid,girl,little,baby,boy,slip,sneaker,sandal
87,dress,woman,bodycon,sleeve,black,mini,sleeveless,long,lace,womens
88,black,charcoal,blue,large,smoke,size,dark,the,shirt,one
89,sweatshirt,hoodie,pullover,hoodies,hooded,3d,men,unisex,printed,boy
90,bikini,woman,swimsuit,bodysuit,piece,high,set,one,black,sexy
91,nike,black,white,air,men,jordan,shoe,size,dri,kid
92,jersey,youth,football,shirt,fan,large,team,ncaa,men,nfl
93,yoga,pant,legging,workout,high,tummy,control,waist,pocket,woman
94,sandal,boot,shoe,ankle,heel,toe,woman,sock,platform,flat
95,top,shirt,tank,summer,casual,tee,sleeveless,loose,woman,sleeve
96,earring,gold,pearl,stud,plated,for,hoop,silver,freshwater,cultured
97,shirt,black,large,men,tee,the,adult,graphic,funny,logo
98,umbrella,windproof,compact,folding,travel,rain,patio,auto,close,outdoor
99,silver,sterling,necklace,925,pendant,jewelry,heart,charm,for,bracelet
100,skirt,waist,high,woman,line,pleated,mini,maxi,skater,black
101,dress,blue,woman,sleeve,neck,navy,short,casual,long,bodycon
102,woman,large,womens,top,black,sandal,size,shirt,land,end
103,bra,underwire,woman,cup,lace,bralette,padded,full,coverage,black
104,floral,woman,print,dress,sleeve,flower,top,long,large,short
105,underwear,panty,brief,pack,lingerie,lace,sexy,thong,woman,cotton
106,swimsuit,beach,bikini,cover,swimwear,up,bathing,suit,beachwear,woman
107,dress,spaghetti,strap,bodycon,woman,neck,mini,sleeveless,sexy,club
108,mask,halloween,masquerade,costume,cosplay,face,party,for,prop,scary
109,tie,men,necktie,cufflink,silk,bow,wedding,set,tuxedo,suit
110,pencil,dress,work,bodycon,business,woman,sleeve,wear,office,to
