cluster_label,year_quarter,to_restock,optimal_qty
12,2023Q4,1,9
12,2024Q1,1,9
12,2024Q2,1,9
12,2024Q3,1,9
12,2024Q4,1,9
14,2023Q4,1,23
14,2024Q1,1,23
14,2024Q2,1,21
18,2023Q4,1,6
18,2024Q1,1,6
18,2024Q2,1,6
18,2024Q3,1,6
18,2024Q4,1,6
23,2023Q4,1,5
23,2024Q1,1,5
23,2024Q2,1,5
23,2024Q3,1,5
23,2024Q4,1,5
25,2023Q4,1,7
25,2024Q1,1,7
25,2024Q2,1,7
25,2024Q3,1,7
25,2024Q4,1,7
35,2023Q4,1,6
35,2024Q1,1,6
35,2024Q2,1,6
35,2024Q3,1,6
35,2024Q4,1,6
40,2023Q4,1,5
40,2024Q1,1,5
40,2024Q2,1,5
40,2024Q3,1,5
40,2024Q4,1,5
44,2023Q4,1,5
44,2024Q1,1,5
44,2024Q2,1,5
44,2024Q3,1,5
44,2024Q4,1,5
46,2023Q4,1,6
46,2024Q1,1,6
46,2024Q2,1,6
46,2024Q3,1,6
46,2024Q4,1,6
54,2023Q4,1,4
54,2024Q1,1,4
54,2024Q2,1,4
54,2024Q3,1,4
54,2024Q4,1,4
65,2023Q4,1,10
65,2024Q1,1,10
65,2024Q2,1,10
65,2024Q3,1,10
65,2024Q4,1,10
72,2023Q4,1,15
72,2024Q1,1,16
73,2023Q4,1,2
73,2024Q1,1,2
73,2024Q2,1,2
73,2024Q3,1,2
73,2024Q4,1,2
82,2023Q4,1,7
82,2024Q1,1,7
82,2024Q2,1,7
82,2024Q3,1,7
82,2024Q4,1,7
95,2023Q4,1,8
95,2024Q1,1,7
95,2024Q2,1,7
95,2024Q3,1,7
95,2024Q4,1,7
101,2023Q4,1,5
101,2024Q1,1,5
101,2024Q2,1,5
101,2024Q3,1,5
101,2024Q4,1,5
102,2023Q4,1,6
102,2024Q1,1,6
102,2024Q2,1,6
102,2024Q3,1,6
102,2024Q4,1,6
103,2023Q4,1,8
103,2024Q1,1,8
103,2024Q2,1,8
103,2024Q3,1,8
103,2024Q4,1,8
126,2023Q4,1,5
126,2024Q1,1,5
126,2024Q2,1,5
126,2024Q3,1,5
126,2024Q4,1,5
128,2023Q4,1,7
128,2024Q1,1,7
128,2024Q2,1,7
128,2024Q3,1,7
128,2024Q4,1,7
131,2023Q4,1,5
131,2024Q1,1,5
131,2024Q2,1,5
131,2024Q3,1,5
131,2024Q4,1,5
135,2023Q4,1,5
135,2024Q1,1,5
135,2024Q2,1,5
135,2024Q3,1,5
135,2024Q4,1,4
147,2023Q4,1,6
147,2024Q1,1,5
147,2024Q2,1,5
147,2024Q3,1,5
147,2024Q4,1,5
